2025-01-01,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Nemzetiségi önkormányzat,,,,,,,,,,,,
Helység megnevezése,Helység KSH kódja,Helység jogállása,Vármegye megnevezése,Járás kódja,Járás neve,Járás székhelye,"Polgármesteri hivatal, közös önkormányzati hivatal kódja","Polgármesteri hivatal, közös önkormányzati hivatal székhelye",Terület  (hektár),Lakó-népesség,Lakások száma,Becsült terület-adatokkal,bolgár  ,görög  ,horvát  ,lengyel  ,német  ,örmény  ,roma,román  ,ruszin  ,szerb  ,szlovák  ,szlovén  ,ukrán  
Balatonszabadi,16601,község,Somogy,146 0,Siófoki,Siófok,1 ,–,"4,134",2913,1238,,,,,,,,,,,,,,
Balatonszárszó,24907,nagyközség,Somogy,146 0,Siófoki,Siófok,2 ,[Helyben],"3,012",2005,1068,,,,,,,,,,,,,,
Balatonszemes,22822,község,Somogy,146 0,Siófoki,Siófok,2 ,[Helyben],"3,602",1644,989,,,,,,,,,,,,,,
Balatonszentgyörgy,21324,község,Somogy,144 0,Marcali,Marcali,2 ,[Helyben],"2,368",1444,733,,,,,,,,,,,,,,
Balatonszepezd,17154,község,Veszprém,185 0,Balatonfüredi,Balatonfüred,5 ,Zánka,"2,505",454,262,,,,,,,,,,,,,,
Balatonszőlős,28501,község,Veszprém,185 0,Balatonfüredi,Balatonfüred,5 ,Balatonfüred,"1,282",639,258,,,,,,,,,,,,,,
Balatonudvari,15565,község,Veszprém,185 0,Balatonfüredi,Balatonfüred,5 ,Tihany,"1,879",348,219,,,,,,,,,,,,,,
Balatonújlak,16470,község,Somogy,144 0,Marcali,Marcali,5 ,Kéthely,"1,081",458,262,,,,,,,,,,,,,,
Balatonvilágos,03559,község,Somogy,146 0,Siófoki,Siófok,5 ,Siófok,"2,921",1432,850,,,,,,,,,,,,,,
Balinka,31103,község,Fejér,082 0,Móri,Mór,5 ,Bakonycsernye,"1,862",849,385,,,,,,1,,,,,,,,
Balkány,26958,város,Szabolcs-Szatmár-Bereg,155 0,Nagykállói,Nagykálló,1 ,–,"9,001",5737,2368,,,,,,,,1,,,,,,
Ballószög,13408,község,Bács-Kiskun,038 0,Kecskeméti,Kecskemét,1 ,–,"3,500",4399,1486,,,,,,,,,,,,,,
Balmazújváros,02918,város,Hajdú-Bihar,093 1,Balmazújvárosi,Balmazújváros,2 ,[Helyben],"20,544",17058,6906,,,,,,1,,1,,,,,,
Balogunyom,05102,község,Vas,181 0,Szombathelyi,Szombathely,5 ,Ják,"1,212",1072,419,,,,,,,,,,,,,,
Balotaszállás,25937,község,Bács-Kiskun,041 0,Kiskunhalasi,Kiskunhalas,2 ,[Helyben],"10,494",1394,726,,,,,,,,,,,,,,
Balsa,15963,község,Szabolcs-Szatmár-Bereg,151 0,Ibrányi,Ibrány,5 ,Tiszabercel,"2,252",632,401,,,,,,,,1,,,,,,
Bálványos,24457,község,Somogy,146 0,Siófoki,Siófok,5 ,Balatonföldvár,"2,369",531,290,,,,,,,,,,,,,,
Bana,31422,község,Komárom-Esztergom,112 0,Komáromi,Komárom,5 ,Bábolna,"2,511",1472,578,,,,,,,,1,,,,,,
Bánd,14173,község,Veszprém,191 0,Veszprémi,Veszprém,5 ,Márkó,984,708,271,,,,,,1,,,,,,,,
Bánfa,07603,község,Baranya,033 0,Szigetvári,Szigetvár,5 ,Dencsháza,"1,206",185,74,,,,,,,,1,,,,,,
Bánhorváti,25159,község,Borsod-Abaúj-Zemplén,058 0,Kazincbarcikai,Kazincbarcika,5 ,Mályinka,"2,848",1252,569,,,,,,,,,,,,,,
Bánk,24341,község,Nógrád,119 0,Rétsági,Rétság,5 ,Borsosberény,990,749,406,,,,,,,,,,,,1,,
Bánokszentgyörgy,08439,község,Zala,195 0,Letenyei,Letenye,2 ,[Helyben],"3,254",541,280,,,,,,,,1,,,,,,
Bánréve,21953,község,Borsod-Abaúj-Zemplén,063 0,Putnoki,Putnok,5 ,Serényfalva,662,1155,530,,,,,,,,1,,,,,,
Bár,24378,község,Baranya,027 0,Mohácsi,Mohács,5 ,Dunaszekcső,900,549,265,,,,,,1,,,,,,,,
Barabás,26480,község,Szabolcs-Szatmár-Bereg,159 0,Vásárosnaményi,Vásárosnamény,5 ,Tiszakerecseny,"3,818",766,377,,,,,,,,,,,,,,
Baracs,07047,község,Fejér,078 0,Dunaújvárosi,Dunaújváros,1 ,–,"5,518",3446,1452,,,,,,,,,,,,,,
Baracska,08581,község,Fejér,081 0,Martonvásári,Martonvásár,1 ,–,"3,968",3075,1157,,,,,,,,,,,,,,
Báránd,26693,község,Hajdú-Bihar,102 0,Püspökladányi,Püspökladány,1 ,–,"4,257",2245,1135,,,,,,,,1,,,,,,
Baranyahídvég,20464,község,Baranya,030 0,Sellyei,Sellye,5 ,Baksa,849,158,68,,,,,,,,1,,,,,,
Baranyajenő,24749,község,Baranya,025 0,Hegyháti,Sásd,5 ,Mindszentgodisa,"1,555",408,155,,,,,,,,1,,,,,,
Baranyaszentgyörgy,05485,község,Baranya,025 0,Hegyháti,Sásd,5 ,Mindszentgodisa,727,108,72,,,,,,1,,,,,,,,
Barbacs,06196,község,Győr-Moson-Sopron,086 0,Csornai,Csorna,5 ,Kóny,"1,365",751,312,,,,,,,,,,,,,,
Barcs,32799,város,Somogy,140 1,Barcsi,Barcs,1 ,–,"12,290",9454,4509,,,,1,,1,,1,,,,,,
Bárdudvarnok,03735,község,Somogy,143 0,Kaposvári,Kaposvár,5 ,Simonfa,"4,856",1119,529,,,,,,,,1,,,,,,
Barlahida,27447,község,Zala,194 0,Lenti,Lenti,5 ,Csömödér,610,119,86,,,,,,,,,,,,,,
Bárna,20048,község,Nógrád,120 0,Salgótarjáni,Salgótarján,5 ,Mátraszele,"1,539",888,453,,,,,,,,1,,,,,,
Barnag,15778,község,Veszprém,191 0,Veszprémi,Veszprém,5 ,Tótvázsony,"1,201",103,68,,,,,,,,,,,,,,
Bársonyos,08624,község,Komárom-Esztergom,111 0,Kisbéri,Kisbér,5 ,Réde,"1,687",682,306,,,,,,,,,,,,,,
Basal,15495,község,Baranya,033 0,Szigetvári,Szigetvár,5 ,Nagypeterd,404,198,79,,,,,,,,,,,,,,
Baskó,08846,község,Borsod-Abaúj-Zemplén,057 0,Gönci,Gönc,5 ,Abaújkér,"2,964",151,103,,,,,,,,,,1,,,,
Báta,11712,község,Tolna,173 0,Szekszárdi,Szekszárd,5 ,Decs,"6,616",1366,734,,,,,,,,1,,,,,,
Bátaapáti,28909,község,Tolna,170 0,Bonyhádi,Bonyhád,5 ,Bonyhád,"2,044",341,146,,,,,,,,,,,,,,
Bátaszék,08864,város,Tolna,173 0,Szekszárdi,Szekszárd,2 ,[Helyben],"6,357",5809,2516,,,,,,1,,1,,,,,,
Baté,32337,község,Somogy,143 0,Kaposvári,Kaposvár,2 ,[Helyben],"1,028",765,298,,,,,,,,1,,,,,,
Bátmonostor,03656,község,Bács-Kiskun,035 0,Bajai,Baja,5 ,Vaskút,"3,795",1392,699,,,,,,,,,,,,,,
Bátonyterenye,33534,város,Nógrád,117 1,Bátonyterenyei,Bátonyterenye,1 ,–,"7,892",11056,5739,,,,,,,,1,,,,,,
Bátor,24022,község,Heves,104 0,Egri,Eger,5 ,Egerbakta,"2,732",369,202,,,,,,,,,,,,,,
Bátorliget,02990,község,Szabolcs-Szatmár-Bereg,156 0,Nyírbátori,Nyírbátor,5 ,Nyírcsászári,"3,330",558,326,,,,,,,,,,,,,,
Battonya,18102,város,Békés,049 0,Mezőkovácsházai,Mezőkovácsháza,1 ,–,"14,571",4797,2882,,,,,,,,1,1,,1,,,
Bátya,11961,község,Bács-Kiskun,037 0,Kalocsai,Kalocsa,1 ,–,"3,386",1787,922,,,,1,,,,1,,,,,,
Batyk,24864,község,Zala,198 0,Zalaszentgróti,Zalaszentgrót,5 ,Türje,808,383,188,,,,,,,,,,,,,,
Bázakerettye,18698,község,Zala,195 0,Letenyei,Letenye,2 ,[Helyben],803,709,393,,,,,,,,,,,,,,
Bazsi,07427,község,Veszprém,188 0,Sümegi,Sümeg,5 ,Gógánfa,910,410,195,,,,,,,,,,,,,,
Béb,22901,község,Veszprém,187 0,Pápai,Pápa,5 ,Ugod,703,249,110,,,,,,1,,,,,,,,
Becsehely,23144,község,Zala,195 0,Letenyei,Letenye,2 ,[Helyben],"3,608",1868,755,,,,1,,,,1,,,,,,
Becske,12016,község,Nógrád,116 0,Balassagyarmati,Balassagyarmat,5 ,Galgaguta,"1,566",469,282,,,,,,,,1,,,,,,
Becskeháza,27049,község,Borsod-Abaúj-Zemplén,055 0,Edelényi,Edelény,5 ,Bódvaszilas,500,40,29,,,,,,,,,,,,,,
Becsvölgye,18360,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,5 ,Gellénháza,"2,140",681,322,,,,,,,,,,,,,,
Bedegkér,20710,község,Somogy,147 0,Tabi,Tab,5 ,Kapoly,"2,600",384,183,,,,,,,,,,,,,,
Bedő,33446,község,Hajdú-Bihar,094 0,Berettyóújfalui,Berettyóújfalu,5 ,Berekböszörmény,"1,020",282,133,,,,,,,,,1,,,,,
Bejcgyertyános,10384,község,Vas,179 0,Sárvári,Sárvár,5 ,Nyőgér,"3,143",410,256,,,,,,,,,,,,,,
Békás,27058,község,Veszprém,187 0,Pápai,Pápa,5 ,Nemesgörzsöny,652,202,90,,,,,,,,,,,,,,
Bekecs,06929,község,Borsod-Abaúj-Zemplén,066 0,Szerencsi,Szerencs,2 ,[Helyben],"2,572",2149,952,,,,,,,,1,,,,,,
Békés,09760,város,Békés,045 1,Békési,Békés,1 ,–,"12,723",17282,8247,,,,,,1,,1,1,,,1,,
Békéscsaba,15200,"megyeszékhely, megyei jogú város",Békés,046 1,Békéscsabai,Békéscsaba,1 ,–,"19,393",53944,30047,,,,,1,1,,1,1,,,1,,1
Békéssámson,26189,község,Békés,050 0,Orosházi,Orosháza,1 ,–,"7,121",2124,1086,,,,,,,,,,,,,,
Békésszentandrás,02680,nagyközség,Békés,052 0,Szarvasi,Szarvas,1 ,–,"7,745",3275,1834,,,,,,,,,,,,,,
Bekölce,04400,község,Heves,103 0,Bélapátfalvai,Bélapátfalva,5 ,Balaton,"1,377",592,342,,,,,,,,,,,,,,
Bélapátfalva,33260,város,Heves,103 1,Bélapátfalvai,Bélapátfalva,2 ,[Helyben],"3,663",2738,1298,,,,,,,,1,,,,,,
Bélavár,06910,község,Somogy,140 0,Barcsi,Barcs,5 ,Csokonyavisonta,"2,278",280,206,,,,,,,,1,,,,,,
Belecska,28662,község,Tolna,174 0,Tamási,Tamási,5 ,Tolnanémedi,"1,441",306,147,,,,,,,,,,,,,,
Beled,10588,város,Győr-Moson-Sopron,088 0,Kapuvári,Kapuvár,2 ,[Helyben],"2,647",2394,1105,,,,,,,,,,,,,,
Beleg,17127,község,Somogy,145 0,Nagyatádi,Nagyatád,5 ,Segesd,"1,799",588,224,,,,,,,,1,,,,,,
Belezna,09168,község,Zala,196 0,Nagykanizsai,Nagykanizsa,5 ,Surd,"3,093",596,284,,,,,,,,,,,,,,
Bélmegyer,19390,község,Békés,045 0,Békési,Békés,5 ,Murony,"6,305",773,500,,,,,,,,,,,,,,
Beloiannisz,08466,község,Fejér,078 0,Dunaújvárosi,Dunaújváros,5 ,Adony,454,987,443,,,1,,,,,,,,,,,
Belsősárd,20950,község,Zala,194 0,Lenti,Lenti,5 ,Rédics,979,101,43,,,,,,,,,,,,,,
Belvárdgyula,19008,község,Baranya,024 0,Bólyi,Bóly,5 ,Szederkény,"1,723",345,167,,,,,,,,1,,,,,,
Benk,25441,község,Szabolcs-Szatmár-Bereg,160 0,Záhonyi,Záhony,5 ,Eperjeske,850,401,169,,,,,,,,,,,,,,
Bénye,25098,község,Pest,130 0,Monori,Monor,5 ,Gomba,"1,650",1233,521,,,,,,,,,,,,,,
Bér,32911,község,Nógrád,118 0,Pásztói,Pásztó,5 ,Vanyarc,"2,549",373,203,,,,,,,,1,,,,1,,
Bérbaltavár,32124,község,Vas,182 0,Vasvári,Vasvár,5 ,Győrvár,"2,567",481,240,,,,,,,,,,,,,,
Bercel,02389,község,Nógrád,116 0,Balassagyarmati,Balassagyarmat,2 ,[Helyben],"3,590",1728,710,,,,,,,,,,,,,,
Beregdaróc,28246,község,Szabolcs-Szatmár-Bereg,159 0,Vásárosnaményi,Vásárosnamény,5 ,Beregsurány,"2,383",823,343,,,,,,,,1,,,,,,
Beregsurány,20677,község,Szabolcs-Szatmár-Bereg,159 0,Vásárosnaményi,Vásárosnamény,2 ,[Helyben],"1,601",599,228,,,,,,,,,,,,,,
Berekböszörmény,18467,község,Hajdú-Bihar,094 0,Berettyóújfalui,Berettyóújfalu,2 ,[Helyben],"4,284",1677,723,,,,,,,,1,1,,,,,
Berekfürdő,34005,község,Jász-Nagykun-Szolnok,163 0,Karcagi,Karcag,5 ,Kunmadaras,"1,857",1039,593,,,,,,,,,,,,,,
Beremend,31927,nagyközség,Baranya,031 0,Siklósi,Siklós,2 ,[Helyben],"4,826",2076,996,,,,,,1,,1,,,,,,
Berente,34290,község,Borsod-Abaúj-Zemplén,058 0,Kazincbarcikai,Kazincbarcika,2 ,[Helyben],922,1017,385,,,,,,,,1,,,,,,
Beret,29674,község,Borsod-Abaúj-Zemplén,056 0,Encsi,Encs,5 ,Szalaszend,677,323,91,,,,,,,,1,,,,,,
Berettyóújfalu,12788,város,Hajdú-Bihar,094 1,Berettyóújfalui,Berettyóújfalu,1 ,–,"17,101",13924,6482,,,,,,,,1,1,,,,,
Berhida,33127,város,Veszprém,190 0,Várpalotai,Várpalota,2 ,[Helyben],"4,272",5698,2045,,,,,,1,,1,,,,,,
Berkenye,09034,község,Nógrád,119 0,Rétsági,Rétság,5 ,Nógrád,"1,346",795,311,,,,,,1,,,,,,,,
Berkesd,16461,község,Baranya,028 0,Pécsi,Pécs,5 ,Bogád,"1,904",763,296,,,,,,1,,1,,,,,,
Berkesz,07472,község,Szabolcs-Szatmár-Bereg,152 0,Kemecsei,Kemecse,5 ,Nyírtét,"1,318",795,294,,,,,,,,,,,,,,
Bernecebaráti,18777,község,Pest,137 0,Szobi,Szob,5 ,Kemence,"3,769",791,469,,,,,,,,,,,,,,
Berzék,26356,község,Borsod-Abaúj-Zemplén,061 0,Miskolci,Miskolc,5 ,Sajóhídvég,"1,059",1002,341,,,,,,,,1,,,,,,
Berzence,30119,nagyközség,Somogy,141 0,Csurgói,Csurgó,1 ,–,"5,376",2242,955,,,,,,,,1,,,,,,
Besence,30049,község,Baranya,030 0,Sellyei,Sellye,5 ,Csányoszró,958,101,36,,,,,,,,,,,,,,
Besenyőd,13639,község,Szabolcs-Szatmár-Bereg,148 0,Baktalórántházai,Baktalórántháza,5 ,Levelek,945,698,250,,,,,,,,1,,,,,,
Besenyőtelek,27517,község,Heves,105 0,Füzesabonyi,Füzesabony,1 ,–,"4,910",2429,1054,,,,,,,,1,,,,,,
Besenyszög,11305,város,Jász-Nagykun-Szolnok,167 0,Szolnoki,Szolnok,2 ,[Helyben],"13,808",3095,1389,,,,,,,,,,,,,,
Besnyő,16346,község,Fejér,078 0,Dunaújvárosi,Dunaújváros,5 ,Iváncsa,"4,464",1773,711,,,,,,,,,,,,,,
Beszterec,21227,község,Szabolcs-Szatmár-Bereg,152 0,Kemecsei,Kemecse,5 ,Kék,"1,159",861,332,,,,,,,,1,,,,,,
Bezedek,14119,község,Baranya,027 0,Mohácsi,Mohács,5 ,Nagynyárád,"1,136",178,97,,,,,,1,,,,,,,,
Bezenye,29805,község,Győr-Moson-Sopron,089 0,Mosonmagyaróvári,Mosonmagyaróvár,5 ,Hegyeshalom,"3,003",1324,578,,,,1,,,,,,,,,,
Bezeréd,12830,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,5 ,Nagykapornak,"1,214",144,141,,,,,,,,,,,,,,
Bezi,10560,község,Győr-Moson-Sopron,087 0,Győri,Győr,5 ,Enese,"1,119",493,200,,,,,,1,,,,,,,,
Biatorbágy,08891,város,Pest,123 0,Budakeszi,Budakeszi,1 ,–,"4,412",15444,5851,,,,,,1,,,,,,,,
Bicsérd,13310,község,Baranya,032 0,Szentlőrinci,Szentlőrinc,2 ,[Helyben],"1,975",986,375,,,,,,,,1,,,,,,
Bicske,10481,város,Fejér,077 1,Bicskei,Bicske,1 ,–,"7,708",11248,4446,,,,,,,,1,,,,,,
Bihardancsháza,25256,község,Hajdú-Bihar,102 0,Püspökladányi,Püspökladány,5 ,Nagyrábé,831,154,100,,,,,,,,,,,,,,
Biharkeresztes,19956,város,Hajdú-Bihar,094 0,Berettyóújfalui,Berettyóújfalu,2 ,[Helyben],"4,926",3921,1637,,,,,,,,1,1,,,,,
Biharnagybajom,24828,község,Hajdú-Bihar,102 0,Püspökladányi,Püspökladány,1 ,–,"6,135",2327,1078,,,,,,,,,,,,,,
Bihartorda,29887,község,Hajdú-Bihar,102 0,Püspökladányi,Püspökladány,5 ,Tetétlen,"2,238",836,398,,,,,,,,1,,,,,,
Biharugra,29610,község,Békés,051 0,Sarkadi,Sarkad,5 ,Okány,"5,284",709,527,,,,,,,,,1,,,,,
Bikács,11970,község,Tolna,172 0,Paksi,Paks,5 ,Nagydorog,"3,467",392,194,,,,,,,,1,,,,,,
Bikal,04899,község,Baranya,026 0,Komlói,Komló,5 ,Egyházaskozár,"1,703",621,324,,,,,,1,,,,,,,,
Biri,02945,község,Szabolcs-Szatmár-Bereg,155 0,Nagykállói,Nagykálló,5 ,Geszteréd,"2,258",1223,525,,,,,,,,,,,,,,
Birján,05139,község,Baranya,028 0,Pécsi,Pécs,5 ,Pécsudvard,907,511,200,,,,1,,1,,,,,,,,
Bisse,24925,község,Baranya,031 0,Siklósi,Siklós,5 ,Diósviszló,"1,380",223,117,,,,,,,,,,,,,,
Boba,29203,község,Vas,176 0,Celldömölki,Celldömölk,5 ,Jánosháza,"1,095",732,332,,,,,,,,,,,,,,
Bocfölde,17543,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,2 ,[Helyben],868,1132,441,,,,,,,,1,,,,,,
Boconád,22354,község,Heves,108 0,Hevesi,Heves,5 ,Tarnaméra,"2,956",1217,626,,,,,,,,,,,,,,
Bócsa,08305,község,Bács-Kiskun,039 0,Kiskőrösi,Kiskőrös,2 ,[Helyben],"9,704",1798,920,,,,,,,,,,,,,,
Bocska,31291,község,Zala,196 0,Nagykanizsai,Nagykanizsa,5 ,Hahót,738,277,128,,,,,,,,,,,,,,
Bocskaikert,34102,község,Hajdú-Bihar,098 0,Hajdúhadházi,Hajdúhadház,1 ,–,"1,089",4191,1661,,,,,,,,,,,,,,
Boda,20899,község,Baranya,032 0,Szentlőrinci,Szentlőrinc,5 ,Bicsérd,"1,542",415,169,,,,,,,,,,,,,,
Bodajk,18254,város,Fejér,082 0,Móri,Mór,1 ,–,"2,898",3801,1552,,,,,,,,,,,,,,
Bodmér,11624,község,Fejér,077 0,Bicskei,Bicske,5 ,Felcsút,717,235,119,,,,,,,,,,,,,,
Bodolyabér,33002,község,Baranya,026 0,Komlói,Komló,5 ,Magyarhertelend,909,197,113,,,,,,,,1,,,,,,
Bodonhely,06220,község,Győr-Moson-Sopron,086 0,Csornai,Csorna,5 ,Szany,"1,110",361,183,,,,,,,,,,,,,,
Bodony,14933,község,Heves,109 0,Pétervásárai,Pétervására,5 ,Parád,"2,896",674,449,,,,,,,,1,,,,,,
Bodorfa,04321,község,Veszprém,188 0,Sümegi,Sümeg,5 ,Sümeg,222,89,49,,,,,,,,,,,,,,
Bodrog,10506,község,Somogy,143 0,Kaposvári,Kaposvár,5 ,Juta,"1,478",364,190,,,,,,,,,,,,,,
Bodroghalom,23737,község,Borsod-Abaúj-Zemplén,054 0,Cigándi,Cigánd,5 ,Pácin,"2,686",1142,492,,,,,,,,1,,,,,,
Bodrogkeresztúr,30784,község,Borsod-Abaúj-Zemplén,069 0,Tokaji,Tokaj,2 ,[Helyben],"2,988",824,510,,,,,,,,,,,,,,
Bodrogkisfalud,33808,község,Borsod-Abaúj-Zemplén,069 0,Tokaji,Tokaj,5 ,Bodrogkeresztúr,"1,467",754,419,,,,,,,,,,,,,,
Bodrogolaszi,14401,község,Borsod-Abaúj-Zemplén,064 0,Sárospataki,Sárospatak,2 ,[Helyben],"2,061",802,391,,,,,,,,,,,,,,
Bódvalenke,27429,község,Borsod-Abaúj-Zemplén,055 0,Edelényi,Edelény,5 ,Bódvaszilas,663,298,56,,,,,,,,1,,,,,,
Bódvarákó,33303,község,Borsod-Abaúj-Zemplén,055 0,Edelényi,Edelény,5 ,Perkupa,922,77,79,,,,,,,,,,,,,,
Bódvaszilas,05926,község,Borsod-Abaúj-Zemplén,055 0,Edelényi,Edelény,2 ,[Helyben],"1,922",887,445,,,,,,,,,,,,,,
Bogács,25195,község,Borsod-Abaúj-Zemplén,060 0,Mezőkövesdi,Mezőkövesd,1 ,–,"2,469",1909,1195,,,,,,,,,,,,,,
Bogád,32151,község,Baranya,028 0,Pécsi,Pécs,2 ,[Helyben],784,1056,495,,,,,,,,,,,,,,
Bogádmindszent,21892,község,Baranya,030 0,Sellyei,Sellye,5 ,Baksa,"1,158",364,137,,,,,,,,1,,,,,,
Bogdása,10694,község,Baranya,030 0,Sellyei,Sellye,5 ,Sellye,"2,099",223,120,,,,,,,,1,,,,,,
Bogyiszló,03425,község,Tolna,175 0,Tolnai,Tolna,1 ,–,"5,593",1970,901,,,,,,,,1,,,,,,
Bogyoszló,04367,község,Győr-Moson-Sopron,086 0,Csornai,Csorna,5 ,Szilsárkány,"2,622",587,307,,,,,,,,,,,,,,
Bojt,14137,község,Hajdú-Bihar,094 0,Berettyóújfalui,Berettyóújfalu,5 ,Biharkeresztes,"2,688",458,200,,,,,,,,1,1,,,,,
Bókaháza,19929,község,Zala,193 0,Keszthelyi,Keszthely,5 ,Zalaapáti,670,248,138,,,,,,,,1,,,,,,
Bokod,07311,község,Komárom-Esztergom,113 0,Oroszlányi,Oroszlány,1 ,–,"2,993",2128,810,,,,,,,,,,,,,,
Bokor,03841,község,Nógrád,118 0,Pásztói,Pásztó,5 ,Mátraszőlős,675,83,66,,,,,,,,,,,,,,
Boldog,03452,község,Heves,107 0,Hatvani,Hatvan,1 ,–,"2,674",2833,1159,,,,,,,,1,,,,,,
Boldogasszonyfa,13116,község,Baranya,033 0,Szigetvári,Szigetvár,5 ,Szentlászló,"1,722",371,207,,,,,,1,,1,,,,,,
Boldogkőújfalu,18944,község,Borsod-Abaúj-Zemplén,057 0,Gönci,Gönc,5 ,Abaújkér,"1,098",628,203,,,,,,,,1,,,,,,
Boldogkőváralja,14474,község,Borsod-Abaúj-Zemplén,057 0,Gönci,Gönc,5 ,Abaújszántó,"2,199",1004,426,,,,,,,,1,,,,,,
Boldva,08396,község,Borsod-Abaúj-Zemplén,055 0,Edelényi,Edelény,2 ,[Helyben],"2,834",2407,796,,,,,,,,1,,,,,,
Bolhás,13994,község,Somogy,145 0,Nagyatádi,Nagyatád,5 ,Somogyszob,"3,143",379,183,,,,,,,,,,,,,,
Bolhó,18120,község,Somogy,140 0,Barcsi,Barcs,5 ,Csokonyavisonta,"2,507",636,376,,,,1,,,,1,,,,,,
Bóly,33154,város,Baranya,024 1,Bólyi,Bóly,2 ,[Helyben],"2,544",3684,1593,,,,,,1,,,,,,,,
Boncodfölde,10782,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,5 ,Teskánd,590,388,139,,,,,,,,,,,,,,
Bonyhád,06497,város,Tolna,170 1,Bonyhádi,Bonyhád,2 ,[Helyben],"7,214",11788,5550,,,,,,1,,1,,,,,,
Bonyhádvarasd,14818,község,Tolna,170 0,Bonyhádi,Bonyhád,5 ,Bonyhád,"1,045",380,159,,,,,,1,,,,,,,,
Bonnya,22673,község,Somogy,147 0,Tabi,Tab,5 ,Törökkoppány,"1,462",195,144,,,,,,1,,,,,,,,
Bordány,08192,nagyközség,Csongrád-Csanád,074 0,Mórahalmi,Mórahalom,1 ,–,"3,648",3232,1530,,,,,,,,,,,,,,
Borgáta,03090,község,Vas,176 0,Celldömölki,Celldömölk,5 ,Jánosháza,621,280,137,,,,,,,,,,,,,,
Borjád,06725,község,Baranya,024 0,Bólyi,Bóly,5 ,Bóly,"1,559",379,155,,,,,,1,,,,,,,,
Borota,19327,község,Bács-Kiskun,036 0,Jánoshalmai,Jánoshalma,2 ,[Helyben],"8,180",1089,758,,,,,,,,,,,,,,
Borsfa,10056,község,Zala,195 0,Letenyei,Letenye,5 ,Becsehely,"1,183",659,289,,,,1,,,,1,,,,,,
Borsodbóta,30669,község,Borsod-Abaúj-Zemplén,062 0,Ózdi,Ózd,2 ,[Helyben],813,765,324,,,,,,,,1,,,,,,
Borsodgeszt,16124,község,Borsod-Abaúj-Zemplén,060 0,Mezőkövesdi,Mezőkövesd,5 ,Bükkábrány,"1,506",257,164,,,,,,,,,,,,,,
Borsodivánka,06707,község,Borsod-Abaúj-Zemplén,060 0,Mezőkövesdi,Mezőkövesd,5 ,Mezőkövesd,"1,589",648,249,,,,,,,,,,,,,,
Borsodnádasd,05315,város,Borsod-Abaúj-Zemplén,062 0,Ózdi,Ózd,1 ,–,"2,808",2767,1333,,,,,,,,1,,,,,,
Borsodszentgyörgy,30207,község,Borsod-Abaúj-Zemplén,062 0,Ózdi,Ózd,5 ,Hangony,"2,152",999,465,,,,,,,,,,,,,,
Borsodszirák,16799,község,Borsod-Abaúj-Zemplén,055 0,Edelényi,Edelény,2 ,[Helyben],"1,101",1187,379,,,,,,,,1,,,,,,
Borsosberény,09894,község,Nógrád,119 0,Rétsági,Rétság,2 ,[Helyben],"2,026",851,381,,,,,,,,1,,,,,,
Borszörcsök,04765,község,Veszprém,186 0,Devecseri,Devecser,5 ,Somlóvásárhely,"1,180",351,161,,,,,,,,1,,,,,,
Borzavár,30252,község,Veszprém,192 0,Zirci,Zirc,5 ,Zirc,"1,300",741,334,,,,,,,,,,,,,,
Bosta,14368,község,Baranya,028 0,Pécsi,Pécs,5 ,Szalánta,595,120,50,,,,,,,,1,,,,,,
Botpalád,22239,község,Szabolcs-Szatmár-Bereg,150 0,Fehérgyarmati,Fehérgyarmat,5 ,Tiszabecs,"1,650",599,231,,,,,,,,1,,,,,,
Botykapeterd,13365,község,Baranya,033 0,Szigetvári,Szigetvár,5 ,Nagypeterd,"1,743",306,131,,,,,,,,,,,,,,
Bozzai,06390,község,Vas,181 0,Szombathelyi,Szombathely,5 ,Vép,443,304,119,,,,,,,,,,,,,,
Bozsok,05023,község,Vas,178 0,Kőszegi,Kőszeg,5 ,Kőszeg,"2,091",359,150,,,,,,,,,,,,,,
Bózsva,31006,község,Borsod-Abaúj-Zemplén,065 0,Sátoraljaújhelyi,Sátoraljaújhely,5 ,Pálháza,"1,638",193,113,,,,,,,,,,,,,,
Bő,05476,község,Vas,179 0,Sárvári,Sárvár,2 ,[Helyben],"1,065",681,316,,,,,,,,,,,,,,
Bőcs,05306,község,Borsod-Abaúj-Zemplén,061 0,Miskolci,Miskolc,1 ,–,"2,432",2569,934,,,,,,,,1,,,,,,
Böde,22877,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,5 ,Teskánd,917,264,112,,,,,,,,,,,,,,
Bödeháza,04163,község,Zala,194 0,Lenti,Lenti,5 ,Rédics,667,52,56,,,,,,,,,,,,,,
Bögöt,11651,község,Vas,179 0,Sárvári,Sárvár,5 ,Sárvár,499,363,178,,,,,,,,,,,,,,
Bögöte,07296,község,Vas,179 0,Sárvári,Sárvár,5 ,Nyőgér,"2,074",304,163,,,,,,,,,,,,,,
Böhönye,26532,község,Somogy,144 0,Marcali,Marcali,2 ,[Helyben],"6,417",2073,940,,,,,,,,,,,,,,
